ID,XT,YT,ZT,XR,YR,ZR,base Radius,top Radius,height,stacks,slices,R,G,B,A,LEVEL
lifePodCenter,-4,1,-1.5,90,0,0,0.5,0.5,2,50,50,0,0.80000000000000004,0.81999999999999995,1,LEVELZERO
lifePodBot,-4,0,-1.5,90,0,0,0.050000000000000003,1,1,50,50,0.5,0.5,0.5,1,LEVELZERO
lifePodTop,-4,1,-1.5,90,0,0,1,0.5,0.5,50,50,0.5,0.5,0.5,1,LEVELZERO
kiosk1,5,1,25,90,0,0,0.5,0.5,2,50,50,0,0.75,1,0.59999999999999998,LEVELONE
kiosk2,-5,1,25,90,0,0,0.5,0.5,2,50,50,0,0.75,1,0.59999999999999998,LEVELONE
power1,-2,1,-5,90,0,0,0.5,0.5,2,50,50,1,0.83999999999999997,0,1,LEVELTHREE
power2,2,1,-5,90,0,0,0.5,0.5,2,50,50,1,0.83999999999999997,0,1,LEVELTHREE
power3,-2,1,-18,90,0,0,0.5,0.5,2,50,50,1,0.83999999999999997,0,1,LEVELTHREE
power4,2,1,-18,90,0,0,0.5,0.5,2,50,50,1,0.83999999999999997,0,1,LEVELTHREE
power1BaseBot,-2,0,-5,90,0,0,0.69999999999999996,0.69999999999999996,1,50,50,0.20000000000000001,0.20000000000000001,0.20000000000000001,1,LEVELTHREE
power1BaseTop,-2,1,-5,90,0,0,0.69999999999999996,0.69999999999999996,0.5,50,50,0.20000000000000001,0.20000000000000001,0.20000000000000001,1,LEVELTHREE
power2BaseBot,2,0,-5,90,0,0,0.69999999999999996,0.69999999999999996,1,50,50,0.20000000000000001,0.20000000000000001,0.20000000000000001,1,LEVELTHREE
power2BaseTop,2,1,-5,90,0,0,0.69999999999999996,0.69999999999999996,0.5,50,50,0.20000000000000001,0.20000000000000001,0.20000000000000001,1,LEVELTHREE
power3BaseBot,-2,0,-18,90,0,0,0.69999999999999996,0.69999999999999996,1,50,50,0.20000000000000001,0.20000000000000001,0.20000000000000001,1,LEVELTHREE
power3BaseTop,-2,1,-18,90,0,0,0.69999999999999996,0.69999999999999996,0.5,50,50,0.20000000000000001,0.20000000000000001,0.20000000000000001,1,LEVELTHREE
power4BaseBot,2,0,-18,90,0,0,0.69999999999999996,0.69999999999999996,1,50,50,0.20000000000000001,0.20000000000000001,0.20000000000000001,1,LEVELTHREE
power4BaseTop,2,1,-18,90,0,0,0.69999999999999996,0.69999999999999996,0.5,50,50,0.20000000000000001,0.20000000000000001,0.20000000000000001,1,LEVELTHREE
